x,y,生态类型,生态属性,人口,人员信息,农场数量,农场信息,生态名称
43,69,land,house,4,"[{'age': 4, 'gender': 'male'}, {'age': 17, 'gender': 'female'}, {'age': 32, 'gender': 'male'}, {'age': 54, 'gender': 'male'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [43, 69], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
43,69,land,house,4,"[{'age': 4, 'gender': 'male'}, {'age': 17, 'gender': 'female'}, {'age': 32, 'gender': 'male'}, {'age': 54, 'gender': 'male'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [43, 69], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
47,69,land,house,1,"[{'age': 19, 'gender': 'male'}]",2,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [47, 69], ""envi"": ""land"", ""house"": null, ""plant"": ""铃兰"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [47, 69], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
47,69,land,house,1,"[{'age': 19, 'gender': 'male'}]",2,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [47, 69], ""envi"": ""land"", ""house"": null, ""plant"": ""铃兰"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [47, 69], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
52,68,land,house,2,"[{'age': 76, 'gender': 'female'}, {'age': 34, 'gender': 'male'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [52, 68], ""envi"": ""land"", ""house"": null, ""plant"": ""苹果"", ""animal"": null, ""biomeType"": ""plant""}}]",
52,68,land,house,2,"[{'age': 76, 'gender': 'female'}, {'age': 34, 'gender': 'male'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [52, 68], ""envi"": ""land"", ""house"": null, ""plant"": ""苹果"", ""animal"": null, ""biomeType"": ""plant""}}]",
34,64,land,house,2,"[{'age': 5, 'gender': 'male'}, {'age': 27, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [34, 64], ""envi"": ""land"", ""house"": null, ""plant"": ""枫树"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [34, 64], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
34,64,land,house,2,"[{'age': 5, 'gender': 'male'}, {'age': 27, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [34, 64], ""envi"": ""land"", ""house"": null, ""plant"": ""枫树"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [34, 64], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
31,55,land,house,4,"[{'age': 8, 'gender': 'male'}, {'age': 15, 'gender': 'male'}, {'age': 21, 'gender': 'female'}, {'age': 28, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [31, 55], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""熊"", ""biomeType"": ""animal""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [31, 55], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
31,55,land,house,4,"[{'age': 8, 'gender': 'male'}, {'age': 15, 'gender': 'male'}, {'age': 21, 'gender': 'female'}, {'age': 28, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [31, 55], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""熊"", ""biomeType"": ""animal""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [31, 55], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
