'x','y','生态类型','瓦片类型'
0,0,land,default
0,1,land,default
0,2,land,default
0,3,land,default
0,4,land,default
0,5,land,default
0,6,land,default
0,7,land,default
0,8,land,default
0,9,land,default
0,10,land,default
0,11,land,default
0,12,land,default
0,13,land,default
0,14,land,default
0,15,land,default
0,16,land,default
0,17,land,default
0,18,land,default
0,19,land,default
0,20,land,default
0,21,land,default
0,22,land,default
0,23,land,default
0,24,land,default
0,25,land,default
0,26,land,default
0,27,land,default
0,28,land,default
0,29,land,default
0,30,land,default
0,31,land,default
0,32,land,default
0,33,land,default
0,34,land,default
0,35,land,default
0,36,land,default
0,37,land,default
0,38,land,default
0,39,land,default
0,40,land,default
0,41,land,default
0,42,land,default
0,43,land,default
0,44,land,default
0,45,land,default
0,46,land,default
0,47,land,default
0,48,land,default
0,49,land,default
0,50,land,default
0,51,land,default
0,52,land,default
0,53,land,default
0,54,land,default
0,55,land,default
0,56,land,default
0,57,land,default
0,58,land,default
0,59,land,default
0,60,land,default
0,61,land,default
0,62,land,default
0,63,land,default
0,64,land,default
0,65,land,default
0,66,land,default
0,67,land,default
0,68,land,default
0,69,land,default
0,70,land,default
0,71,land,default
0,72,land,default
0,73,land,default
0,74,land,default
0,75,land,default
0,76,land,default
0,77,land,default
0,78,land,default
0,79,land,default
0,80,land,default
0,81,land,default
0,82,land,default
0,83,land,default
0,84,land,default
0,85,land,default
0,86,land,default
0,87,land,grass
0,88,land,grass
0,89,land,grass
0,90,land,grass
0,91,land,grass
0,92,land,grass
0,93,land,grass
0,94,land,grass
0,95,land,grass
0,96,land,grass
0,97,land,grass
0,98,land,grass
0,99,land,grass
1,0,land,default
1,1,land,default
1,2,land,default
1,3,land,default
1,4,land,default
1,5,land,default
1,6,land,default
1,7,land,default
1,8,land,default
1,9,land,default
1,10,land,default
1,11,land,default
1,12,land,default
1,13,land,default
1,14,land,default
1,15,land,default
1,16,land,default
1,17,land,default
1,18,land,default
1,19,land,default
1,20,land,default
1,21,land,default
1,22,land,default
1,23,land,default
1,24,land,default
1,25,land,default
1,26,land,default
1,27,land,default
1,28,land,default
1,29,land,default
1,30,land,default
1,31,land,default
1,32,land,default
1,33,land,default
1,34,land,default
1,35,land,default
1,36,land,default
1,37,land,default
1,38,land,default
1,39,land,default
1,40,land,default
1,41,land,default
1,42,land,default
1,43,land,default
1,44,land,default
1,45,land,default
1,46,land,default
1,47,land,default
1,48,land,default
1,49,land,default
1,50,land,default
1,51,land,default
1,52,land,default
1,53,land,default
1,54,land,default
1,55,land,default
1,56,land,default
1,57,land,default
1,58,land,default
1,59,land,default
1,60,land,default
1,61,land,default
1,62,land,default
1,63,land,default
1,64,land,default
1,65,land,default
1,66,land,default
1,67,land,default
1,68,land,default
1,69,land,default
1,70,land,default
1,71,land,default
1,72,land,default
1,73,land,default
1,74,land,default
1,75,land,default
1,76,land,default
1,77,land,default
1,78,land,default
1,79,land,default
1,80,land,default
1,81,land,default
1,82,land,default
1,83,land,default
1,84,land,default
1,85,land,default
1,86,land,default
1,87,land,grass
1,88,land,grass
1,89,land,grass
1,90,land,grass
1,91,land,grass
1,92,land,grass
1,93,land,grass
1,94,land,grass
1,95,land,grass
1,96,land,grass
1,97,land,grass
1,98,land,grass
1,99,land,grass
2,0,sea,water
2,1,sea,water
2,2,land,default
2,3,land,default
2,4,land,default
2,5,land,default
2,6,land,default
2,7,land,default
2,8,land,default
2,9,land,default
2,10,land,default
2,11,land,default
2,12,land,default
2,13,land,default
2,14,land,default
2,15,land,default
2,16,land,default
2,17,land,default
2,18,land,default
2,19,land,default
2,20,land,default
2,21,land,default
2,22,land,default
2,23,land,default
2,24,land,default
2,25,land,default
2,26,land,default
2,27,land,default
2,28,land,default
2,29,land,default
2,30,land,default
2,31,land,default
2,32,land,default
2,33,land,default
2,34,land,default
2,35,land,default
2,36,land,default
2,37,land,default
2,38,land,default
2,39,land,default
2,40,land,default
2,41,land,default
2,42,land,default
2,43,land,default
2,44,land,default
2,45,land,default
2,46,land,default
2,47,land,default
2,48,land,default
2,49,land,default
2,50,land,default
2,51,land,default
2,52,land,default
2,53,land,default
2,54,land,default
2,55,land,default
2,56,land,default
2,57,land,default
2,58,land,default
2,59,land,default
2,60,land,default
2,61,land,default
2,62,land,default
2,63,land,default
2,64,land,default
2,65,land,default
2,66,land,default
2,67,land,default
2,68,land,default
2,69,land,default
2,70,land,default
2,71,land,default
2,72,land,default
2,73,land,default
2,74,land,default
2,75,land,default
2,76,land,default
2,77,land,default
2,78,land,default
2,79,land,default
2,80,land,default
2,81,land,default
2,82,land,default
2,83,land,default
2,84,land,default
2,85,land,default
2,86,land,default
2,87,land,grass
2,88,land,grass
2,89,land,grass
2,90,land,grass
2,91,land,grass
2,92,land,grass
2,93,land,grass
2,94,land,grass
2,95,land,grass
2,96,land,grass
2,97,land,grass
2,98,land,grass
2,99,land,grass
3,0,sea,water
3,1,sea,water
3,2,sea,water
3,3,land,default
3,4,land,default
3,5,land,default
3,6,land,default
3,7,land,default
3,8,land,default
3,9,land,default
3,10,land,default
3,11,land,default
3,12,land,default
3,13,land,default
3,14,land,default
3,15,land,default
3,16,land,default
3,17,land,default
3,18,land,default
3,19,land,default
3,20,land,default
3,21,land,default
3,22,land,default
3,23,land,default
3,24,land,default
3,25,land,default
3,26,land,default
3,27,land,default
3,28,land,default
3,29,land,default
3,30,land,default
3,31,land,default
3,32,land,default
3,33,land,default
3,34,land,default
3,35,land,default
3,36,land,default
3,37,land,default
3,38,land,default
3,39,land,default
3,40,land,default
3,41,land,default
3,42,land,default
3,43,land,default
3,44,land,default
3,45,land,default
3,46,land,default
3,47,land,default
3,48,land,default
3,49,land,default
3,50,land,default
3,51,land,default
3,52,land,default
3,53,land,default
3,54,land,default
3,55,land,default
3,56,land,default
3,57,land,default
3,58,land,default
3,59,land,default
3,60,land,default
3,61,land,default
3,62,land,default
3,63,land,default
3,64,land,default
3,65,land,default
3,66,land,default
3,67,land,default
3,68,land,default
3,69,land,default
3,70,land,default
3,71,land,default
3,72,land,default
3,73,land,default
3,74,land,default
3,75,land,default
3,76,land,default
3,77,land,default
3,78,land,default
3,79,land,default
3,80,land,default
3,81,land,default
3,82,land,default
3,83,land,default
3,84,land,default
3,85,land,default
3,86,land,default
3,87,land,default
3,88,land,grass
3,89,land,grass
3,90,land,grass
3,91,land,grass
3,92,land,grass
3,93,land,grass
3,94,land,grass
3,95,land,grass
3,96,land,grass
3,97,land,grass
3,98,land,grass
3,99,land,grass
4,0,sea,water
4,1,sea,water
4,2,sea,water
4,3,sea,water
4,4,land,default
4,5,land,default
4,6,land,default
4,7,land,default
4,8,land,default
4,9,land,default
4,10,land,default
4,11,land,default
4,12,land,default
4,13,land,default
4,14,land,default
4,15,land,default
4,16,land,default
4,17,land,default
4,18,land,default
4,19,land,default
4,20,land,default
4,21,land,default
4,22,land,default
4,23,land,default
4,24,land,default
4,25,land,default
4,26,land,default
4,27,land,default
4,28,land,default
4,29,land,default
4,30,land,default
4,31,land,default
4,32,land,default
4,33,land,default
4,34,land,default
4,35,land,default
4,36,land,default
4,37,land,default
4,38,land,default
4,39,land,default
4,40,land,default
4,41,land,default
4,42,land,default
4,43,land,default
4,44,land,default
4,45,land,default
4,46,land,default
4,47,land,default
4,48,land,default
4,49,land,default
4,50,land,default
4,51,land,default
4,52,land,default
4,53,land,default
4,54,land,default
4,55,land,default
4,56,land,default
4,57,land,default
4,58,land,default
4,59,land,default
4,60,land,default
4,61,land,default
4,62,land,default
4,63,land,default
4,64,land,default
4,65,land,default
4,66,land,default
4,67,land,default
4,68,land,default
4,69,land,default
4,70,land,default
4,71,land,default
4,72,land,default
4,73,land,default
4,74,land,default
4,75,land,default
4,76,land,default
4,77,land,default
4,78,land,default
4,79,land,default
4,80,land,default
4,81,land,default
4,82,land,default
4,83,land,default
4,84,land,default
4,85,land,default
4,86,land,default
4,87,land,default
4,88,land,grass
4,89,land,grass
4,90,land,grass
4,91,land,grass
4,92,land,grass
4,93,land,grass
4,94,land,grass
4,95,land,grass
4,96,land,grass
4,97,land,grass
4,98,land,grass
4,99,land,grass
5,0,sea,water
5,1,sea,water
5,2,sea,water
5,3,sea,water
5,4,sea,water
5,5,sea,water
5,6,land,default
5,7,land,default
5,8,land,default
5,9,land,default
5,10,land,default
5,11,land,default
5,12,land,default
5,13,land,default
5,14,land,default
5,15,land,default
5,16,land,default
5,17,land,default
5,18,land,default
5,19,land,default
5,20,land,default
5,21,land,default
5,22,land,default
5,23,land,default
5,24,land,default
5,25,land,default
5,26,land,default
5,27,land,default
5,28,land,default
5,29,land,default
5,30,land,default
5,31,land,default
5,32,land,default
5,33,land,default
5,34,land,default
5,35,land,default
5,36,land,default
5,37,land,default
5,38,land,default
5,39,land,default
5,40,land,default
5,41,land,default
5,42,land,default
5,43,land,default
5,44,land,default
5,45,land,default
5,46,land,default
5,47,land,default
5,48,land,default
5,49,land,default
5,50,land,default
5,51,land,default
5,52,land,default
5,53,land,default
5,54,land,default
5,55,land,default
5,56,land,default
5,57,land,default
5,58,land,default
5,59,land,default
5,60,land,default
5,61,land,default
5,62,land,default
5,63,land,default
5,64,land,default
5,65,land,default
5,66,land,default
5,67,land,default
5,68,land,default
5,69,land,default
5,70,land,default
5,71,land,default
5,72,land,default
5,73,land,default
5,74,land,default
5,75,land,default
5,76,land,default
5,77,land,default
5,78,land,default
5,79,land,default
5,80,land,default
5,81,land,default
5,82,land,default
5,83,land,default
5,84,land,default
5,85,land,default
5,86,land,default
5,87,land,default
5,88,land,default
5,89,land,grass
5,90,land,grass
5,91,land,grass
5,92,land,grass
5,93,land,grass
5,94,land,grass
5,95,land,grass
5,96,land,grass
5,97,land,grass
5,98,land,grass
5,99,land,grass
6,0,land,default
6,1,sea,water
6,2,sea,water
6,3,sea,water
6,4,sea,water
6,5,sea,water
6,6,sea,water
6,7,land,default
6,8,land,default
6,9,land,default
6,10,land,default
6,11,land,default
6,12,land,default
6,13,land,default
6,14,land,default
6,15,land,default
6,16,land,default
6,17,land,default
6,18,land,default
6,19,land,default
6,20,land,default
6,21,land,default
6,22,land,default
6,23,land,default
6,24,land,default
6,25,land,default
6,26,land,default
6,27,land,default
6,28,land,default
6,29,land,default
6,30,land,default
6,31,land,default
6,32,land,default
6,33,land,default
6,34,land,default
6,35,land,default
6,36,land,default
6,37,land,default
6,38,land,default
6,39,land,default
6,40,land,default
6,41,land,default
6,42,land,default
